INFO - 2024-07-23 18:15:55 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:56 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:56 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:56 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:56 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:56 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:56 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:57 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:57 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:57 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:57 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:58 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:58 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:58 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:00 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:16:00 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:05 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (169 bytes)
INFO - 2024-07-23 18:16:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:16:07 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:07 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (164 bytes)
INFO - 2024-07-23 18:16:07 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (163 bytes)
INFO - 2024-07-23 18:16:07 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (163 bytes)
INFO - 2024-07-23 18:16:07 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (163 bytes)
INFO - 2024-07-23 18:16:07 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:08 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:08 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:08 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:08 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:16:09 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:09 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:09 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (233 bytes)
INFO - 2024-07-23 18:16:09 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:10 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:10 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (162 bytes)
INFO - 2024-07-23 18:16:10 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:10 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (169 bytes)
INFO - 2024-07-23 18:16:10 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:10 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:12 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (164 bytes)
INFO - 2024-07-23 18:16:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (159 bytes)
INFO - 2024-07-23 18:16:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:14 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:14 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (143 bytes)
INFO - 2024-07-23 18:16:18 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (141 bytes)
INFO - 2024-07-23 18:16:18 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:19 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:22 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:16:22 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:22 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:22 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:23 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:16:23 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:23 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:23 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:24 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:24 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:24 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:24 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:24 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:25 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:16:25 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:25 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:25 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:26 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (79 bytes)
INFO - 2024-07-23 18:16:26 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:26 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:26 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:26 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:31 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:32 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:37 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:16:37 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:37 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (158 bytes)
INFO - 2024-07-23 18:16:38 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:16:40 - Sending PINGREQ
INFO - 2024-07-23 18:16:40 - Received PINGRESP
INFO - 2024-07-23 18:17:40 - Sending PINGREQ
INFO - 2024-07-23 18:17:40 - Received PINGRESP
INFO - 2024-07-23 18:18:40 - Sending PINGREQ
INFO - 2024-07-23 18:18:40 - Received PINGRESP
INFO - 2024-07-23 18:19:40 - Sending PINGREQ
INFO - 2024-07-23 18:19:40 - Received PINGRESP
INFO - 2024-07-23 18:19:50 - Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b'logger'
INFO - 2024-07-23 18:19:50 - Received CONNACK (0, 0)
INFO - 2024-07-23 18:19:50 - Sending SUBSCRIBE (d0, m1) [(b'/topic/logging/mqtt', 0)]
INFO - 2024-07-23 18:19:50 - Sending SUBSCRIBE (d0, m2) [(b'/topic/logging/filesystem', 0)]
INFO - 2024-07-23 18:19:50 - Received SUBACK
INFO - 2024-07-23 18:19:50 - Received SUBACK
INFO - 2024-07-23 18:19:54 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (159 bytes)
INFO - 2024-07-23 18:19:54 - Caught exception in on_message: sequence item 1: expected str instance, int found
INFO - 2024-07-23 18:21:34 - Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b'logger'
INFO - 2024-07-23 18:21:34 - Received CONNACK (0, 0)
INFO - 2024-07-23 18:21:34 - Sending SUBSCRIBE (d0, m1) [(b'/topic/logging/mqtt', 0)]
INFO - 2024-07-23 18:21:34 - Sending SUBSCRIBE (d0, m2) [(b'/topic/logging/filesystem', 0)]
INFO - 2024-07-23 18:21:34 - Received SUBACK
INFO - 2024-07-23 18:21:34 - Received SUBACK
INFO - 2024-07-23 18:21:36 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (159 bytes)
INFO - 2024-07-23 18:21:36 - Caught exception in on_message: sequence item 1: expected str instance, int found
INFO - 2024-07-23 18:22:53 - Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b'logger'
INFO - 2024-07-23 18:22:53 - Received CONNACK (0, 0)
INFO - 2024-07-23 18:22:53 - Sending SUBSCRIBE (d0, m1) [(b'/topic/logging/mqtt', 0)]
INFO - 2024-07-23 18:22:53 - Sending SUBSCRIBE (d0, m2) [(b'/topic/logging/filesystem', 0)]
INFO - 2024-07-23 18:22:53 - Received SUBACK
INFO - 2024-07-23 18:22:53 - Received SUBACK
INFO - 2024-07-23 18:22:55 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:22:55 - Caught exception in on_message: sequence item 1: expected str instance, int found
INFO - 2024-07-23 18:33:49 - Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b'logger'
